name,model_year,color,fuel,origin,bi_license,gear_type,bi_glass,engine_power,speedometer,passenger_seat_no,bi_payment_option,status,previous_owner,bi_condition,bi_lock_system,bi_alert,bi_radio,bi_sunroof,bi_wheels,bi_seat_type,bi_cushion,price
بيجو 508,2013,أسود ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,85000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,40000
هونداي توسان,2006,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,0.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,53000
كيا سبورتاج,2015,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,62000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,98000
هونداي توسان,2007,سكني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,62000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,لا يوجد,فرش جلد,لا يوجد,60000
كيا سبورتاج,2010,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,17000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,81000
كيا اوبتيما,2013,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,60000.0,5,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,75000
هونداي افانتي,2006,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,90000.0,5,نقدا فقط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,لا يوجد,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,38000
كيا بيكانتو,2016,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000,24000.0,5,إمكانية التقسيط ,للبيع فقط ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,56000
كيا ريو,2010,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,80000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,50000
فولكسفاجن بولو,2016,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,44000.0,5,نقدا فقط ,للبيع أو التبديل ,0,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,67000
مرسيدس 220,1999,أبيض ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,44000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,28000
اوبل كورسا,2013,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,80000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,53000
سوبارو امبريزا,1998,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,إمكانية التقسيط ,للبيع فقط ,4,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,35000
فورد فيستا,2012,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,130000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,39500
كيا سورينتو,2007,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,130000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,60000
فولكسفاجن Tsi,2014,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,130000.0,5,نقدا فقط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,85000
هونداي توسان,2006,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,190.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,40000
فولكسفاجن CC,2013,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,34000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,105000
اودي A4,2003,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,34000.0,5,إمكانية التقسيط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,لا يوجد,لا يوجد,وسادة حماية هوائية,44000
فولكسفاجن بولو,1981,برتقالي ,ديزل ,تجاري ,فلسطينية ,عادي ,يدوي ,1900,180.0,6,نقدا فقط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,20000
بي ام دبليو 320,2007,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,180.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,73000
سيت ليون,2015,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,80000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,68000
هونداي كليك,2007,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,130000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,35000
دايو ماتيز,2001,برتقالي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,800,130000.0,5,إمكانية التقسيط ,للبيع فقط ,0,مُكيّف,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,16000
فورد فيستا,2014,أحمر ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,85000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,43500
هونداي جيتس,2007,ذهبي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,80000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,37000
فورد فيستا,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,70000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,39000
مرسيدس C250,1999,أسود ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2500,123456.0,5,نقدا فقط ,للبيع أو التبديل ,3,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,33000
كيا فورتي,2008,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,170000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,55000
دراجة نارية Sym wolf 250 ,2016,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,250,13000.0,2,إمكانية التقسيط ,للبيع أو التبديل ,3,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,17000
كيا ريو,2017,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,34000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,فتحة سقف,لا يوجد,لا يوجد,وسادة حماية هوائية,82000
هونداي سوناتا,1998,أخضر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,7500000.0,5,نقدا فقط ,للبيع أو التبديل ,4,مُكيّف,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,12000
فولكسفاجن ترانسبورتر ,2008,أسود ميتالك ,ديزل ,حكومي ,فلسطينية ,عادي ,الكتروني ,2500,160000.0,8,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,60000
سكودا اوكتافيا,2010,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1900,160000.0,5,نقدا فقط ,للبيع فقط ,5,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,75000
فولكسفاجن جولف,2008,كحلي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,156000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,60000
مرسيدس 416,2003,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2700,156000.0,5,إمكانية التقسيط ,للبيع فقط ,3,لا يوجد,لا يوجد,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,115000
سكودا اوكتافيا,2011,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,156000.0,5,نقدا فقط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,68000
هونداي افانتي,2005,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,190000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,37500
فولكسفاجن GTI,2008,أحمر ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,20000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,82000
فولكسفاجن باسات,2004,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,20000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,40000
اوبل استرا,2006,رمادي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,200000.0,5,نقدا فقط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,40000
شفروليه بونتباك,1994,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,2000,0.0,5,إمكانية التقسيط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,18000
سكودا اوكتافيا,2005,ذهبي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,400.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,43000
هونداي الانترا,2000,كحلي ,بنزين ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,12345.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,23000
فيات باندا,2013,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,900,38000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,38000
فولكسفاجن كرافيل,2001,أحمر ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500,38000.0,8,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,35000
سانغ يونغ موسو,2008,أبيض ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,38000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,45000
كيا سييد,2012,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,17590.0,4,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,58000
اوبل كورسا,2008,ذهبي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,17590.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,37000
هونداي فيرنا,2007,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,17590.0,5,نقدا فقط ,للبيع فقط ,2,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,35000
فولكسفاجن كادي,2016,فيراني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,17590.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,وسادة حماية هوائية,99999
فولكسفاجن تعديل ار ,2010,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,200000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,65000
فولكسفاجن كادي,2016,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,2000,40000.0,7,إمكانية التقسيط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,112000
بي ام دبليو 318,1989,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1800,100000.0,5,إمكانية التقسيط ,للبيع فقط ,17,مُكيّف,لا يوجد,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,30000
هونداي الانترا,1999,سكني ,بنزين ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,100000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,6,لا يوجد,لا يوجد,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,لا يوجد,22000
فولكسفاجن جولف,2008,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,100000.0,5,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,لا يوجد,جهاز إنذار,مسجل CD,فتحة سقف,لا يوجد,فرش جلد,وسادة حماية هوائية,62000
هونداي توسان,2006,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,159000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,54000
بيجو 207,2008,أسود ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600,159000.0,4,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,8000
فورد فيستا,2013,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,159000.0,5,إمكانية التقسيط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,55000
سكودا اوكتافيا,2012,أسود ميتالك ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,150.0,5,إمكانية التقسيط ,للبيع أو التبديل ,5,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,75000
كيا سورينتو,2014,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,62000.0,7,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,11500
فولكسفاجن باسات,2008,رمادي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,62000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,75000
فولكسفاجن باسات,2008,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,1500.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,70000
سيت قرطبة,2005,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900,127654.0,5,إمكانية التقسيط ,للبيع أو التبديل ,4,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,35000
هونداي كليك,2010,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,127654.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,38000
فيات بونتو,2002,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,0.0,5,نقدا فقط ,للبيع أو التبديل ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,26000
اوبل كورسا,2016,فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400,0.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,فرش جلد,لا يوجد,50000
فولكسفاجن باسات,2010,أسود ,ديزل ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,2000,255000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,75000
فولكسفاجن باسات,1997,فيراني ,بنزين ,حكومي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,255000.0,5,نقدا فقط ,للبيع فقط ,5,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,28000
هونداي توسان,2015,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000,97000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,لا يوجد,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,120000
مرسيدس 220,2009,برتقالي ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2200,97000.0,8,إمكانية التقسيط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,72000
فولكسفاجن بولو,2014,فيراني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200,45000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,63000
مرسيدس GLA200,2014,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,45000.0,5,نقدا فقط ,للبيع أو التبديل ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,148000
كيا فورتي,2008,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,150000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,46000
فولكسفاجن بولو,2014,بني ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,1400,105000.0,5,نقدا فقط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,فتحة سقف,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,67000
اوبل اسكونا,1987,خمري ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,1600,105000.0,5,إمكانية التقسيط ,للبيع فقط ,4,مُكيّف,لا يوجد,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,15000
فورد فيستا,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250,105000.0,5,إمكانية التقسيط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,45000
اوبل استرا,2006,خمري ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600,0.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,فتحة سقف,لا يوجد,لا يوجد,وسادة حماية هوائية,38000
هونداي افانتي,2005,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,0.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,جهاز إنذار,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,40000
هوندا سيفيك,2008,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800,200000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,لا يوجد,40000
داتشيا ستيب واي,2016,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,900,27000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,65000
سكودا اوكتافيا,2008,فضي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900,240000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,إغلاق مركزي,لا يوجد,لا يوجد,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,65000
كيا برايد,2007,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,100000.0,5,نقدا فقط ,للبيع فقط ,4,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,39999
هونداي اكسنت,2016,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400,20000.0,5,نقدا فقط ,للبيع فقط ,1,مُكيّف,إغلاق مركزي,لا يوجد,مسجل CD,لا يوجد,لا يوجد,فرش جلد,لا يوجد,63000
اوبل اسكونا,1987,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600,10000.0,5,نقدا فقط ,للبيع فقط ,2,مُكيّف,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,لا يوجد,وسادة حماية هوائية,14000
فولكسفاجن جولف,2012,سكني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1200,90000.0,5,إمكانية التقسيط ,للبيع فقط ,3,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,لا يوجد,وسادة حماية هوائية,75000
هونداي اكسنت,2013,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600,100000.0,5,نقدا فقط ,للبيع أو التبديل ,2,مُكيّف,إغلاق مركزي,جهاز إنذار,مسجل CD,لا يوجد,جنطات مغنيسيوم,فرش جلد,وسادة حماية هوائية,58000
